Tipo,Aeropuerto,País,Item (EN),Item (ES),Precio,Descripción (EN),Descripción (ES),Notas
EXPO,,Colombia,Travel Crate,Jaula de viaje,idem Tati,"LATAM Pet Transport will provide a [tamaño] travel container.
Crate meets IATA regulations.","LATAM Pet Transport proporcionará una jaula de [tamaño]. 
La jaula cumple con la normativa IATA.",SI ES MAS DE UNA JAULA DEBERA SER PLURAL  : crates meet IATA regluaitons
EXPO,,Colombia,Crate Pre-delivery,Pre-entrega de la jaula,idem retiro normal,"Pre-delivery of the crate in [ORIGEN, city].","Pre-entrega de la jaula en [ORIGEN, ciudad].",
EXPO,,Colombia,RNATT,RNATT,idem Tati + USD 50,Rabies Neutralising Rabies Titre Test.,Prueba de titulación de anticuerpos neutralizantes de la rabia,el microchip podria sera aparrteo no estar
EXPO,,Colombia,Veterinary Fees,Honorarios veterinarios,idem Tati + USD 25,"Vet visit, health certificate and de-worming treatment.","Visita al veterinario, certificado de salud y tratamiento de desparasitación.",
EXPO,,Colombia,International Travel Certificate,Certificado internacional de viaje,USD190 x 1 mascota USD 290 por 2 mascotas y USD 390 por 3 mascotas,"All legal paperwork to enter the pet(s) from Colombia into [destino, ciudad] 
Includes:
 - International health certificate endorsed by ICA","Todo el papeleo legal para ingresar la(s) mascota(s) de Colombia al [destino, ciudad]  incluye:  - Certificado de salud internacional avalado por el ICA",
EXPO,,Colombia,Collection / Pick-up,Retiro / Recogida,USD 200 ( 1 mascota en jaula grande o 2 chiquitas),Collection from owner´s residence and transport to [codigo aeropuerto] airport.,Recogida en la residencia del propietario y transporte al aeropuerto [codigo aeropuerto].,
EXPO,,Colombia,Airline Tender,Entrega a aerolínea,USD 120 siempre,Tender to the airline at [codigo aeropuerto] airport,Entrega a la aerolínea en el aeropuerto [código aeropuerto],
EXPO,,Colombia,Air Freight,Flete aéreo,+ USD 650 retail y USA + USD 750 si es agente.,"This charge includes the air freight charged by the airline under the CARGO modality. Includes, also, all fees 
and taxes charged by the airline and by the official offices as well, such as Customs, ICA.
Includes agent fees needed to export the animals.
IMPORTANT:
The air freight has been estimated on this basis:  
[cantidad de jaulas] crates [tamaño de jaulas].
In case these estimations vary, we will have to re-estimate the air freight.
Routing: [codigo origen] - (posibles escalas, manual) - [codigo destino] on [aerolinea]'s flight  
ETA: TBC 
Frequency: TBC","Este cargo incluye el flete aéreo cobrado por la aerolínea bajo la modalidad CARGO. Incluye también todas las tasas e impuestos cobrados por la aerolínea y por las entidades oficiales, como Aduanas e ICA. Incluye los honorarios del agente necesarios para exportar los animales. 
IMPORTANTE: 
El flete aéreo se ha estimado sobre esta base: [cantidad de jaulas] jaulas [tamaño de jaulas]. En caso de que estas estimaciones varíen, tendremos que reestimar el flete aéreo. 
Ruta: [codigo origen] - (posibles escalas, manual) - [codigo destino] en el vuelo de [aerolinea]. 
ETA: Por confirmar. 
Frecuencia: Por confirmar.",el routing se modificara manualmente cada vez
EXPO,,Colombia,LATAM Pet Transport Fee,Honorario LATAM Pet Transport,USD 350 siempre,,,
EXPO,,Colombia,Domestic Forwarding,Reenvío doméstico,"a MDE, CLO, BAQ, PEI, AXM etc USD780 X 1 mascota, USD 880 X 2 mascotas y USD 980 x 3 mascotas  (INCLUYE HOME DELIVERY)",,,
EXPO,,Colombia,Boarding / Lodging,Hospedaje,USD 50 por perro x día y USD 40 por gato x día.  Si es solo una dia perro 80 gato 60,,,
EXPO,,Ecuador,Travel Crate,Jaula de viaje,idem Tati,"LATAM Pet Transport will provide a [tamaño] travel container.
Crate meets IATA regulations.","LATAM Pet Transport proporcionará una jaula de [tamaño]. 
La jaula cumple con la normativa IATA.",SI ES MAS DE UNA JAULA DEBERA SER PLURAL  : crates meet IATA regluaitons
EXPO,,Ecuador,Crate Pre-delivery,Pre-entrega de la jaula,idem retiro normal,"Pre-delivery of the crate in [ORIGEN, city].","Pre-entrega de la jaula en [ORIGEN, ciudad].",
EXPO,,Ecuador,RNATT,RNATT,idem Tati +USD 50,Rabies Neutralising Rabies Titre Test.,Prueba de titulación de anticuerpos neutralizantes de la rabia,el microchip podria sera aparrteo no estar
EXPO,,Ecuador,Veterinary Fees,Honorarios veterinarios,idem Tati +USD 25,"Vet visit, health certificate and de-worming treatment.","Visita al veterinario, certificado de salud y tratamiento de desparasitación.",
