ID_PRECIO,DESTINO,REGION,TIPO_MASCOTA,ORIGEN_MASCOTA,CANTIDAD_MASCOTAS,PRECIO_USD,NOTAS
1,BOLIVIA,AMERICA,TODOS,ARGENTINA,1,$305,Extra mascota: +USD 50. Si vacunar: +USD 59 vacuna completa + USD 50 traslado a vet
2,BOLIVIA,AMERICA,TODOS,ARGENTINA,2,$432,Extra mascota: +USD 50. Si vacunar: +USD 59 vacuna completa + USD 50 traslado a vet
3,BRASIL,AMERICA,TODOS,ARGENTINA,1,$305,Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica + USD 50 traslado a vet
4,BRASIL,AMERICA,TODOS,ARGENTINA,2,$432,Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica + USD 50 traslado a vet
5,CHILE,AMERICA,TODOS,ARGENTINA,1,$313,Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica + USD 50 traslado a vet
6,CHILE,AMERICA,TODOS,ARGENTINA,2,$448,Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica + USD 50 traslado a vet
7,COLOMBIA,AMERICA,TODOS,ARGENTINA,1,$275,Extra mascota: +USD 50. Si vacunar: +USD 25 vacuna completa + USD 50 traslado a vet
8,COLOMBIA,AMERICA,TODOS,ARGENTINA,2,$372,Extra mascota: +USD 50. Si vacunar: +USD 25 vacuna completa + USD 50 traslado a vet
9,ECUADOR,AMERICA,TODOS,ARGENTINA,1,$313,Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica
10,ECUADOR,AMERICA,TODOS,ARGENTINA,2,$448,Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica
11,GUATEMALA,AMERICA,TODOS,ARGENTINA,1,$313,Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica + USD 50 traslado a vet
12,GUATEMALA,AMERICA,TODOS,ARGENTINA,2,$448,Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica + USD 50 traslado a vet
13,MEXICO,AMERICA,TODOS,ARGENTINA,1,$363,Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica + USD 50 traslado a vet
14,MEXICO,AMERICA,TODOS,ARGENTINA,2,$548,Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica + USD 50 traslado a vet
15,MEXICO,AMERICA,TODOS,ARGENTINA,3,$731,Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica + USD 50 traslado a vet
16,PANAMA,AMERICA,TODOS,ARGENTINA,1,$275,Requiere legalización consular. Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica + USD 50 traslado a vet
17,PANAMA,AMERICA,TODOS,ARGENTINA,2,$372,Requiere legalización consular. Extra mascota: +USD 50. Si vacunar: +USD 25 antirrábica + USD 50 traslado a vet
18,PARAGUAY,AMERICA,TODOS,ARGENTINA,1,$305,Extra mascota: +USD 50. Si vacunar: +USD 59 vacuna completa + USD 50 traslado a vet
19,PARAGUAY,AMERICA,TODOS,ARGENTINA,2,$432,Extra mascota: +USD 50. Si vacunar: +USD 59 vacuna completa + USD 50 traslado a vet
