BRASIL,,,,
,Size,Measures in cm (L x H x W),International Weight-volume (kg),Cost
Dog/Cat,100,53 x41 x 38,"2,5 kgs",
Dog/Cat,200,71 x 52 x 55,"4,0 kgs",$195.00
Dog,300,81 x 57 x 61,"5,6 Kgs",$266.00
Dog,400,91 x 64 x 69,"7,5 kgs",$348.00
Dog,500,102 x 69 x 76,"9,5 kgs",$455.00
Dog,700,122 x 81 x 89,13 kgs,$745.00
Dog,CR82 / LAR82,Custom made,,$690.00
,,,,
COLOMBIA,,,,
,Size,Measures in cm (L x H x W),International Weight-volume (kg),Cost
Dog/Cat,100,53 x41 x 38,"2,5 kgs",
Dog/Cat,200,71 x 52 x 55,"4,0 kgs",$160.00
Dog,300,81 x 57 x 61,"5,6 Kgs",$210.00
Dog,400,91 x 64 x 69,"7,5 kgs",$250.00
Dog,500,102 x 69 x 76,"9,5 kgs",$338.00
Dog,700,122 x 81 x 89,13 kgs,$410.00
Dog,CR82 / LAR82,Custom made,,$580.00
,,,,
Uruguay,,,,
,Size,Measures in cm (L x H x W),International Weight-volume (kg),Cost
Dog/Cat,100,53 x41 x 38,"2,5 kgs",
Dog/Cat,200,71 x 52 x 55,"4,0 kgs",$210.00
Dog,300,81 x 57 x 61,"5,6 Kgs",$260.00
Dog,400,91 x 64 x 69,"7,5 kgs",$310.00
Dog,500,102 x 69 x 76,"9,5 kgs",$410.00
Dog,700,122 x 81 x 89,13 kgs,$510.00
Dog,CR82 / LAR82,Custom made,,$610.00
,,,,
Peru,,,,
,Size,Measures in cm (L x H x W),International Weight-volume (kg),Cost
Dog/Cat,100,53 x41 x 38,"2,5 kgs",
Dog/Cat,200,71 x 52 x 55,"4,0 kgs",$148.00
Dog,300,81 x 57 x 61,"5,6 Kgs",$229.00
Dog,400,91 x 64 x 69,"7,5 kgs",$280.00
Dog,500,102 x 69 x 76,"9,5 kgs",$299.00
Dog,700,122 x 81 x 89,13 kgs,$525.00
Dog,CR82 / LAR82,Custom made,,$680.00
,,,,
Ecuador,,,,
,Size,Measures in cm (L x H x W),International Weight-volume (kg),Cost
Dog/Cat,100,53 x41 x 38,"2,5 kgs",
Dog/Cat,200,71 x 52 x 55,"4,0 kgs",$190.00
Dog,300,81 x 57 x 61,"5,6 Kgs",$380.00
Dog,400,91 x 64 x 69,"7,5 kgs",$430.00
Dog,500,102 x 69 x 76,"9,5 kgs",$500.00
Dog,700,122 x 81 x 89,13 kgs,$550.00
Dog,CR82 / LAR82,Custom made,,$680.00
,,,,
,,,,
,,,,
CHILE/ Jaulas DANIEL (medidas argentinas),,,,
,Size,Measures in cm (L x H x W),International Weight-volume (kg),Cost
Dog,200,65x50x48 cm,0,$75.00
Dog,300,80x60x55 cm,,$105.00
Dog,400,90x70x60,,$130.00
Dog,500,100x80x70,,$240.00
Dog,700,120x90x80,,$400.00
Dog,CR82 / LAR82,#500,,$560.00
Dog,CR82 / LAR82,#700,,$660.00
,,,,
,,,,
COSTA RICA,,,,
,Size,Measures in cm (L x H x W),International Weight-volume (kg),Cost
Dog/Cat,100,60x40x40 cms,"16,0",$140.00
Dog,200,70x50x55 cms,"33,0",$210.00
Dog,300,81x54x60 cms,"44,0",$230.00
Dog,400,91x61x67 cms,"62,0",$270.00
Dog,500,102x68x76 cms,"88,0",$370.00
Dog,500,131x80x85,"148,0",$510.00
Dog,700,122x82x89 cms,"149,0",$550.00
Dog,CR82 / LAR82,,,$610.00
,,,,
,,,,
ARGENTINA,,,,
,Size,Measures in cm (L x H x W),International Weight-volume (kg),Cost 
Dog/Cat,100,,,
Dog,200,65 x 50 x 48,"27,1",$270.00
Dog,300,80 x 60 x 55,"44,0",$310.00
Dog,400,90 x 70 x 60,"63,0",$343.00
Dog,500,100 x 80 x 70,"93,3",$424.00
Dog,700,120 x 90x 80,"144,0",$500.00
Dog,700 Bonacci,EXT 130x94x85,173,$500.00
Dog,LAR82,,,$550.00
,,,,
,,,,
MEXICO,,,,
,Size,Measures in cm (L x H x W),International Weight-volume (kg),Cost
Perro/Gato,200,71 x 52 x 55,"34,0",$120.00
Perro,300,81 x 57 x 61,"49,0",$150.00
Perro,400,91 x 69 x 63,"61,5",$180.00
Perro,500,102 x 76 x 9,"93,3",$240.00
Perro,700,120 x 90 x 80,"147,0",$550.00
Dog,LAR82,,,$670.00
